,ID_nome_comum,fk_nome_cientifico
735,393,Leptopanchax splendens
736,393,Melanorivulus pinima
737,393,Melanorivulus rutilicaudus
738,393,Melanorivulus vittatus
739,393,Nematolebias papilliferus
740,393,Notholebias cruzi
741,393,Notholebias fractifasciatus
742,393,Notholebias minimus
743,393,Ophthalmolebias bokermanni
744,393,Ophthalmolebias constanciae
745,393,Ophthalmolebias perpendicularis
746,393,Ophthalmolebias rosaceus
747,393,Ophthalmolebias suzarti
748,393,Pituna brevirostrata
749,393,Simpsonichthys boitonei
750,393,Simpsonichthys parallelus
751,393,Simpsonichthys punctulatus
752,393,Simpsonichthys santanae
753,393,Simpsonichthys zonatus
754,393,Xenurolebias myersi
755,393,Austrolebias cinereus
756,394,Trichechus inunguis
757,395,Trichechus manatus
758,396,Maratecoara formosa
759,396,Hypsolebias notatus
760,396,Simpsonichthys nigromaculatus
761,397,Cynolebias griseus
762,398,Sparisoma axillare
763,398,Sparisoma frondosum
764,399,Apareiodon davisi
765,399,Odontesthes bicudo
766,400,Kalyptodoras bahiensis
767,401,Nyctimantis pomba
768,401,Scinax alcatraz
769,401,Scinax faivovichi
770,401,Scinax peixotoi
771,402,Xenohyla truncata
772,403,Boana buriti
773,404,Scinax faivovichi
774,405,Phrynomedusa marginata
775,406,Scinax alcatraz
776,407,Xenohyla truncata
777,408,Nyctimantis pomba
778,409,Boana buriti
779,410,Bokermannohyla vulcaniae
780,411,Xenohyla truncata
781,412,Xenohyla truncata
782,413,Boana cymbalum
783,414,Sphaenorhynchus bromelicola
784,415,Pithecopus rusticus
785,416,Nyctimantis pomba
786,417,Phrynomedusa fimbriata
787,418,Phrynomedusa fimbriata
788,419,Scinax peixotoi
789,420,Phrynomedusa marginata
790,421,Thoropa petropolitana
791,422,Spintherobolus broccae
792,422,Hasemania crenuchoides
793,422,Astyanax eremus
794,422,Mimagoniates sylvicola
795,423,Stygichthys typhlops
796,424,Brycon insignis
797,425,Brycon devillei
798,426,Piculus paraensis
799,427,Celeus flavus subflavus
800,428,Celeus torquatus tinnunculus
801,429,Celeus obrieni
802,430,Scobinancistrus aureatus
803,431,Brachycephalus mirissimus
804,432,Rhincodon typus
805,432,Leopardus tigrinus
806,433,Pseudoplatystoma corruscans
807,434,Spinus yarrellii
808,435,Phyllomyias reiseri
809,436,Sandalodesmus stramineus
810,437,Glomeridesmus spelaeus
811,437,Leodesmus yporangae
812,437,Peridontodesmella alba
813,437,Pseudonannolene ambuatinga
814,437,Pseudonannolene spelaea
815,437,Dioplosternus salvatrix
816,437,Pseudonannolene imbirensis
817,437,Pseudonannolene tocaiensis
818,437,Odontopeltis giganteus
819,438,Brycon orbignyanus
820,439,Bothrops pirajai
821,440,Mycteroperca interstitialis
822,441,Brycon opalinus
823,442,Conorhynchos conirostris
824,443,Conorhynchos conirostris
825,444,Girardia arenicola
826,444,Girardia paucipuntacta
827,445,Proceratophrys palustris
828,446,Lophiosilurus alexandri
829,447,Callistomys pictus
830,448,Bradypus torquatus
831,449,Cavia intermedia
832,450,Acherontides eleonorae
833,450,Arrhopalites alambariensis
834,450,Arrhopalites botuveraensis
835,450,Arrhopalites gnaspinii
836,450,Arrhopalites heteroculatus
837,450,Arrhopalites lawrencei
838,450,Arrhopalites paranaensis
839,450,Pararrhopalites papaveroi
840,450,Troglobius brasiliensis
841,450,Troglobius ferroicus
842,450,Trogolaphysa aelleni
843,450,Archisotoma arariboia
844,450,Pseudosinella ambigua
845,450,Seira arenicola
846,450,Isotomiella uai
847,450,Archisotoma catiae
848,450,Maricaella duna
849,450,Aethiopella littoralis
850,450,Seira mataraquensis
851,450,Seira musarum
852,450,Agraphorura mariapetrae
853,450,Isotomodes cariocus
854,450,Psammisotoma restingae
855,450,Arlea arenicola
856,450,Paracerura gandarela
857,450,Hyleanura mendoncae
858,450,Mesaphorura maricaensis
859,450,Seira pseudoannulata
860,450,Arlesia intermedia
861,450,Isotomurus riparius
862,450,Arlea psammophila
863,450,Micranurida fluminensis
864,451,Tayassu pecari
865,451,Tayassu pecari
866,452,Thripophaga macroura
867,453,Phaethornis margarettae
868,454,Parides panthonus castilhoi
869,455,Discosura langsdorffi langsdorffi
870,456,Leptasthenura platensis
871,457,Alopias vulpinus
872,458,Lycalopex vetulus
873,459,Juscelinomys candango
874,460,Oligoryzomys rupestris
875,460,Rhipidomys cariri
876,460,Rhipidomys tribei
877,460,Phyllomys lundi
878,460,Phyllomys thomasi
879,460,Phyllomys brasiliensis
880,460,Phyllomys unicolor
881,461,Noronhomys vespuccii
882,462,Callistomys pictus
883,463,Thalpomys cerradensis
884,463,Cerradomys goytaca
885,463,Thalpomys lasiotis
886,464,Akodon mystax
887,465,Trinomys mirapitanga
888,465,Trinomys yonenagae
889,465,Trinomys eliasi
890,465,Trinomys moojeni
891,466,Gyldenstolpia planaltensis
892,466,Wilfredomys oenax
893,466,Euryoryzomys lamia
894,466,Microakodontomys transitorius
895,467,Cerradomys goytaca
