,fk_id_categoria,nome_cientifico,ano
514,4.0,Brachymyrmex micromegas,2014
515,3.0,Brachymyrmex micromegas,2021
516,4.0,Diaphoromyrma sofiae,2014
517,4.0,Diaphoromyrma sofiae,2021
518,3.0,Monomorium delabiei,2014
519,3.0,Monomorium delabiei,2021
520,5.0,Mycetagroicus urbanus,2014
521,5.0,Mycetagroicus urbanus,2021
522,4.0,Rhopalothrix plaumanni,2014
523,4.0,Rhopalothrix plaumanni,2021
524,5.0,Fulakora cleae,2014
525,5.0,Fulakora cleae,2021
526,3.0,Leporinus guttatus,2014
527,3.0,Leporinus guttatus,2021
528,5.0,Leporinus pitingai,2014
529,5.0,Leporinus pitingai,2021
530,4.0,Hypomasticus thayeri,2014
531,3.0,Hypomasticus thayeri,2021
532,4.0,Sartor tucuruiense,2014
533,4.0,Sartor tucuruiense,2021
534,4.0,Brycon devillei,2014
535,4.0,Brycon devillei,2021
536,4.0,Bryconamericus lambari,2014
537,4.0,Bryconamericus lambari,2021
538,4.0,Diapoma pyrrhopteryx,2014
539,4.0,Diapoma pyrrhopteryx,2021
540,5.0,Henochilus wheatlandii,2014
541,5.0,Henochilus wheatlandii,2021
542,4.0,Hollandichthys taramandahy,2014
543,4.0,Hollandichthys taramandahy,2021
544,4.0,Rachoviscus crassiceps,2014
545,4.0,Rachoviscus crassiceps,2021
546,4.0,Spintherobolus leptoura,2014
547,4.0,Spintherobolus leptoura,2021
548,4.0,Stygichthys typhlops,2014
549,4.0,Stygichthys typhlops,2021
550,4.0,Brycon gouldingi,2014
551,4.0,Brycon gouldingi,2021
552,3.0,Ossubtus xinguense,2014
553,3.0,Ossubtus xinguense,2021
554,4.0,Rhinopetitia potamorhachia,2014
555,4.0,Rhinopetitia potamorhachia,2021
556,4.0,Brycon insignis,2014
557,4.0,Brycon insignis,2021
558,3.0,Brycon opalinus,2014
559,3.0,Brycon opalinus,2021
560,4.0,Spintherobolus broccae,2014
561,4.0,Spintherobolus broccae,2021
562,4.0,Brycon orbignyanus,2014
563,5.0,Brycon orbignyanus,2021
564,3.0,Hasemania crenuchoides,2014
565,4.0,Hasemania crenuchoides,2021
566,0.0,Hasemania maxillaris,2014
567,7.0,Hasemania maxillaris,2021
568,0.0,Hasemania melanura,2014
569,7.0,Hasemania melanura,2021
570,4.0,Hyphessobrycon duragenys,2014
571,4.0,Hyphessobrycon duragenys,2021
572,4.0,Hyphessobrycon flammeus,2014
573,4.0,Hyphessobrycon flammeus,2021
574,0.0,Hyphessobrycon taurocephalus,2014
575,7.0,Hyphessobrycon taurocephalus,2021
576,5.0,Spintherobolus papilliferus,2014
577,4.0,Spintherobolus papilliferus,2021
578,5.0,Astyanax eremus,2014
579,5.0,Astyanax eremus,2021
580,,Hasemania uberaba,2014
581,4.0,Hasemania uberaba,2021
582,4.0,Brycon vermelha,2014
583,4.0,Brycon vermelha,2021
584,4.0,Hasemania piatan,2014
585,4.0,Hasemania piatan,2021
586,5.0,Kolpotocheirodon figueiredoi,2014
587,5.0,Kolpotocheirodon figueiredoi,2021
588,4.0,Lepidocharax diamantina,2014
589,4.0,Lepidocharax diamantina,2021
590,3.0,Mimagoniates lateralis,2014
591,3.0,Mimagoniates lateralis,2021
592,4.0,Mimagoniates sylvicola,2014
593,4.0,Mimagoniates sylvicola,2021
594,4.0,Rachoviscus graciliceps,2014
595,4.0,Rachoviscus graciliceps,2021
596,3.0,Spintherobolus ankoseion,2014
597,3.0,Spintherobolus ankoseion,2021
598,5.0,Characidium vestigipinne,2014
599,5.0,Characidium vestigipinne,2021
600,4.0,Melanocharacidium nigrum,2014
601,4.0,Melanocharacidium nigrum,2021
602,5.0,Characidium grajahuensis,2014
603,5.0,Characidium grajahuensis,2021
604,3.0,Roestes itupiranga,2014
605,3.0,Roestes itupiranga,2021
606,3.0,Lebiasina melanoguttata,2014
607,3.0,Lebiasina melanoguttata,2021
608,3.0,Lebiasina marilynae,2014
609,3.0,Lebiasina marilynae,2021
610,3.0,Lebiasina minuta,2014
611,3.0,Lebiasina minuta,2021
612,4.0,Apareiodon davisi,2014
613,4.0,Apareiodon davisi,2021
614,4.0,Prochilodus britskii,2014
615,4.0,Prochilodus britskii,2021
616,3.0,Prochilodus vimboides,2014
617,3.0,Prochilodus vimboides,2021
618,4.0,Myloplus tiete,2014
619,4.0,Myloplus tiete,2021
620,4.0,Mylesinus paucisquamatus,2014
621,4.0,Mylesinus paucisquamatus,2021
622,4.0,Sternarchella curvioperculata,2014
623,4.0,Sternarchella curvioperculata,2021
624,4.0,Sternarchorhynchus britskii,2014
625,4.0,Sternarchorhynchus britskii,2021
626,5.0,Tembeassu marauna,2014
627,5.0,Tembeassu marauna,2021
628,3.0,Sternarchogiton zuanoni,2014
629,4.0,Sternarchogiton zuanoni,2021
630,3.0,Sternarchorhynchus caboclo,2014
631,3.0,Sternarchorhynchus caboclo,2021
632,5.0,Sternarchorhynchus higuchii,2014
633,5.0,Sternarchorhynchus higuchii,2021
634,3.0,Sternarchorhynchus inpai,2014
635,3.0,Sternarchorhynchus inpai,2021
636,5.0,Sternarchorhynchus jaimei,2014
637,5.0,Sternarchorhynchus jaimei,2021
638,3.0,Sternarchorhynchus kokraimoro,2014
639,4.0,Sternarchorhynchus kokraimoro,2021
640,3.0,Sternarchorhynchus mareikeae,2014
641,3.0,Sternarchorhynchus mareikeae,2021
642,3.0,Sternarchorhynchus severii,2014
643,3.0,Sternarchorhynchus severii,2021
644,3.0,Sternarchorhynchus villasboasi,2014
645,4.0,Sternarchorhynchus villasboasi,2021
646,3.0,Eigenmannia vicentespelaea,2014
647,3.0,Eigenmannia vicentespelaea,2021
648,1.0,Archolaemus ferreirai,2014
649,3.0,Archolaemus ferreirai,2021
650,2.0,Archolaemus santosi,2014
651,3.0,Archolaemus santosi,2021
652,3.0,Tigrisoma fasciatum,2014
653,3.0,Tigrisoma fasciatum,2021
654,5.0,Paragenidens grandoculis,2014
655,5.0,Paragenidens grandoculis,2021
656,5.0,Genidens planifrons,2014
657,5.0,Genidens planifrons,2021
658,4.0,Genidens barbus,2014
659,4.0,Genidens barbus,2021
660,3.0,Sciades parkeri,2014
661,3.0,Sciades parkeri,2021
662,4.0,Corydoras lacerdai,2014
663,4.0,Corydoras lacerdai,2021
664,4.0,Scleromystax macropterus,2014
665,4.0,Scleromystax macropterus,2021
666,4.0,Kalyptodoras bahiensis,2014
667,4.0,Kalyptodoras bahiensis,2021
668,4.0,Rhynchodoras xingui,2014
669,4.0,Rhynchodoras xingui,2021
