,ID_nome_comum,Nome_comum
838,838,cigarra-verdadeira
839,839,coatá
840,840,cobra-da-terra-da-floresta
841,841,cobra-da-terra-do-sul
842,842,cobra-da-terra-dos-brejos
843,843,cobra-de-duas-cabeças
844,844,cobra-de-gaita
845,845,cobra-de-pé
846,846,cobra-de-vidro
847,847,cobra-espada-do-paraná
848,848,cobra-rainha-das-dunas
849,849,cobra-rainha-do-são-francisco
850,850,cobra-rainha-estriada
851,851,cobrinha
852,852,cocoruta
853,853,codorna-carapé
854,854,codorna-mineira
855,855,cola-fina
856,856,coperete
857,857,corredor-crestudo
858,858,coxovi
859,859,crejoá
860,860,cujubi
861,861,cujubim
862,862,curica-urubu
863,863,curriqueiro
864,864,curupeté
865,865,cuxiú
866,866,cuxuí
867,867,dançador-de-coroa-dourada
868,868,diabinha
869,869,donzela-de-rocas; donzela
870,870,donzelinha
871,871,efemérida
872,872,emplastro
873,873,emplastro-amarelo
874,874,emplastro-bicudo
875,875,emplastro-marcela
876,876,emplastro-pintado
877,877,entufado-baiano
878,878,escorpião-de-livro
879,879,espadarte
880,880,estrela-do-mar
881,881,fadinha
882,882,falso-escorpião
883,883,ferreirinho-de-cara-branca
884,884,flautim-marrom
885,885,flautim-rufo
886,886,formiga
887,887,formiga-cortadeira
888,888,formigueiro-de-cabeça-negra
889,889,formigueiro-de-cauda-ruiva
890,890,formigueiro-do-litoral
891,891,fruxu-baiano
892,892,fura-terra-pintada
893,893,galito
894,894,garoupa verdadeira
895,895,gato-maracajá-mirim
896,896,gato-pintado
897,897,gavião-cinza
898,898,gavião-de-pescoço-branco
899,899,gavião-gato-do-nordeste
900,900,gavião-pombo-pequeno
901,901,gavião-real
902,902,gavião-real-falso
903,903,gecko-do-campo
904,904,gravatazeiro
905,905,grazina
906,906,grazina-da-madeira
907,907,grazina-de-barriga-branca
908,908,grazina-de-desertas
909,909,grazina-de-trindade
910,910,gritador-do-nordeste
911,911,grumatã
912,912,guariba-da-Caatinga
913,913,guariba-de-mãos-vermelhas
914,914,guaribinha
915,915,guaruba
916,916,guigó
917,917,guigó-da-caatinga
918,918,harpia
919,919,hipocampo
920,920,iguaninha-azul
921,921,inhambu-carapé
922,922,ipecuá
923,923,jacamim-de-costas-escuras
924,924,jacamim-de-costas-marrons
925,925,jacamim-do-xingu
926,926,jacu-de-alagoas
927,927,jacu-estalo
928,928,jacu-estalo-escamoso
929,929,jacubim
930,930,jacucaca
931,931,jacupemba
932,932,jacupiranga
933,933,jacutinga
934,934,jaguar
935,935,jaguaretê
936,936,jandaia-amarela
937,937,jararaca-de-alcatrazes
938,938,jararaca-ilhôa
939,939,jararacuçu-de-murici
940,940,jararacuçu-tapete
941,941,jiboia-amarela
942,942,jiboia-de-Cropan
943,943,jiboia-do-Ribeira
944,944,joão-de-barba-grisalha
945,945,joão-platino
946,946,jurumim
947,947,juruviara-de-noronha
948,948,killifish
949,949,lacrau
950,950,lagartinho-branco-da-areia
951,951,lagartinho-da-praia
952,952,lagartinho-de-Linhares
953,953,lagartinho-de-vacaria
954,954,lagartinho-do-cipó
955,955,lagartinho-nativo
956,956,lagartinho-pintado
957,957,lagartixa-da-praia
958,958,lagartixa-das-dunas
959,959,lagartixa-pintada
960,960,lagarto-da-cauda-verde
961,961,lagarto-das-pedras
962,962,lagarto-de-folhiço
963,963,lambarizinho vermelho
964,964,lambarú
965,965,lava-bunda
966,966,lavadeira
967,967,lenheiro-da-serra-do-cipó
968,968,limpa-folha-de-bico-virado
969,969,lobo
970,970,lobo-de-crina
971,971,lobo-de-juba
972,972,lobo-vermelho
973,973,lontra gigante
974,974,macaco-cara-branca
975,975,macaco-prego-do-papo-amarelo
976,976,macaco-preto
977,977,machote
978,978,macuquinho-baiano
979,979,macuquinho-da-várzea
980,980,maitaca-de-barriga-azul
981,981,maria-catarinense
982,982,maria-do-nordeste
983,983,maria-leque-do-sudeste
